,proportion expt. gr reached,CO2_uptake,fixed biomass output,feasibility,nCO2RC,expt. gr reached,line_color
model_002,1.1,2.0,0.26180000000000003,1.0,23.088651609869537,1.0,1.1
model_004,0.971253694780171,1.448852872941643,0.2311583793576807,1.0,63.555879966611464,0.0,0.971253694780171
model_005,1.047105527482927,1.8207941488362849,0.2492111155409366,1.0,29.116641648949138,1.0,1.047105527482927
model_006,0.9462517354637384,1.123836840968579,0.22520791304036974,1.0,93.45338578405966,0.0,0.9462517354637384
model_008,0.9034293185919524,1.6252317330799997,0.21501617782488466,1.0,32.70290689936419,0.0,0.9034293185919524
model_009,1.0774302862584593,1.253306997474283,0.2564284081295133,1.0,94.96120127740005,1.0,1.0774302862584593
model_012,0.9279098238795996,1.365369032137096,0.2208425380833447,1.0,67.33696723433533,0.0,0.9279098238795996
model_013,1.0537311382591728,1.7373107997700572,0.2507880109056831,1.0,40.495315331777235,1.0,1.0537311382591728
model_016,0.9976033749058845,1.919675400480628,0.23742960322760048,1.0,22.016866290031054,0.0,0.9976033749058845
model_017,1.0215372046455742,1.5477512460201979,0.24312585470564665,1.0,58.84629578949253,1.0,1.0215372046455742
model_020,0.9134343324229122,1.5977431628853083,0.21739737111665308,1.0,37.71722539063154,0.0,0.9134343324229122
model_021,1.0924248972907664,1.975172283127904,0.2599971255552024,1.0,23.495948979413257,1.0,1.0924248972907664
model_022,0.9884445734322072,1.1613535480573773,0.2352498084768653,1.0,94.31626152084553,0.0,0.9884445734322072
model_024,0.9612486869096757,1.7810799917206168,0.2287771874845028,1.0,25.563065514715692,0.0,0.9612486869096757
model_025,1.0321109224110843,1.403656861744821,0.24564239953383804,1.0,75.72383735510132,1.0,1.0321109224110843
model_028,0.9826148733496667,1.303322137799114,0.23386233985722066,1.0,80.22948355289151,0.0,0.9826148733496667
model_029,1.0115260932594539,1.680751123931259,0.24074321019575,1.0,41.49515434201208,1.0,1.0115260932594539
model_032,0.9428983313962818,1.864586564246565,0.22440980287231505,1.0,21.035502333618712,0.0,0.9428983313962818
model_033,1.0637422556057574,1.4871632107533514,0.2531706568341702,1.0,70.75547060798544,1.0,1.0637422556057574
model_036,0.9499425880610943,1.511470541357994,0.22608633595854044,1.0,53.575051068357396,0.0,0.9499425880610943
model_037,1.069197998568416,1.8829427883028984,0.254469123659283,1.0,25.045409271857128,1.0,1.069197998568416
model_038,0.9749344123527408,1.1040658159181476,0.2320343901399523,1.0,98.0835375257742,0.0,0.9749344123527408
model_040,0.97557066436857,1.703502074815333,0.23218581811971964,1.0,33.36666429856488,0.0,0.97557066436857
model_041,1.0060703026130797,1.3320238376036286,0.23944473202191296,1.0,79.99715548162095,1.0,1.0060703026130797
model_044,0.9557624271139503,1.430893715005368,0.22747145765312016,1.0,63.598229686421845,0.0,0.9557624271139503
model_045,1.0250971825793387,1.802366096060723,0.2439731294538826,1.0,28.30800082960938,1.0,1.0250971825793387
model_047,1.0244618007913233,1.1809915131889284,0.24382190858833494,1.0,96.15098764673722,1.0,1.0244618007913233
model_048,0.9189206399023534,1.9949933593161404,0.2187031122967601,1.0,11.68730187414976,0.0,0.9189206399023534
model_049,1.0994385894387964,1.623515345621854,0.2616663842864335,1.0,60.300582066235656,1.0,1.0994385894387964
model_052,0.9921247441321612,1.567663696128875,0.23612568910345436,1.0,52.615990118264556,0.0,0.9921247441321612
model_053,1.0145158350467682,1.9453562092967331,0.24145476874113084,1.0,21.434203848172398,1.0,1.0145158350467682
model_054,0.9171287806704641,1.2364769293926656,0.21827664979957045,1.0,79.5502213931056,0.0,0.9171287806704641
model_056,0.9333885023370386,1.7644559214822948,0.22214646355621517,1.0,25.289628881808486,0.0,0.9333885023370386
model_057,1.0607524601742626,1.3867468680255115,0.2524590855214745,1.0,80.66645845346699,1.0,1.0607524601742626
model_060,0.9104689979925752,1.2761496799066663,0.2166916215222329,1.0,74.72981070902497,0.0,0.9104689979925752
model_061,1.0828906072303655,1.653841701336205,0.25772796452082697,1.0,54.66117607619972,1.0,1.0828906072303655
model_064,0.964214063063264,1.8450101055204868,0.2294829470090568,1.0,22.92358865236182,0.0,0.964214063063264
model_065,1.041645158827305,1.467300470918417,0.24791154780089858,1.0,70.21393565010645,1.0,1.041645158827305
model_068,0.9020815150812268,1.472817927133292,0.21469540058933198,1.0,51.66671661801575,0.0,0.9020815150812268
model_069,1.0795591479167346,1.8512600283138454,0.2569350772041828,1.0,29.935763898821133,1.0,1.0795591479167346
model_070,0.9770927403122188,1.1416197218932211,0.23254807219430806,1.0,94.95527068878236,0.0,0.9770927403122188
model_072,0.9734306704252959,1.6718074125237763,0.2316764995612204,1.0,37.085952527385075,0.0,0.9734306704252959
model_073,1.0457096122205258,1.2933831033296883,0.24887888770848515,1.0,88.04059806087162,1.0,1.0457096122205258
model_076,0.995431598648429,1.368826787918806,0.2369127204783261,1.0,75.05410363834102,0.0,0.995431598648429
model_077,1.0229275412857533,1.7472683973610401,0.2434567548260093,1.0,34.782186932885104,1.0,1.0229275412857533
model_078,0.9204121986404062,1.0610412722453475,0.21905810327641667,1.0,96.52262678444346,0.0,0.9204121986404062
model_079,1.0265887409448626,1.2419487182050943,0.24432812034487728,1.0,90.84180154047877,1.0,1.0265887409448626
model_080,0.9292506160214544,1.939884495921433,0.22116164661310614,1.0,13.375568289680292,0.0,0.9292506160214544
model_081,1.0516089042648673,1.5614596055820584,0.2502829192150384,1.0,61.16685151328573,1.0,1.0516089042648673
model_084,0.9567758856341244,1.6055495673790574,0.2277126607809216,1.0,43.0203290217614,0.0,0.9567758856341244
model_085,1.0373647848144176,1.9777599582448602,0.24689281878583136,1.0,20.882989424092415,1.0,1.0373647848144176
model_086,0.9317748971283437,1.1982249449938536,0.2217624255165458,1.0,84.94598428726775,0.0,0.9317748971283437
model_088,0.9187363058328629,1.7968486621975899,0.21865924078822135,1.0,22.78256790443373,0.0,0.9187363058328629
model_089,1.0879039812833073,1.424643725156784,0.2589211475454271,1.0,79.9365066697355,1.0,1.0879039812833073
model_092,0.9376015529036522,1.3374956180341542,0.22314916959106923,1.0,71.50790758899404,0.0,0.9376015529036522
